0,1,2
"Prostate-specific antigen (PSA) takes two major forms in the blood. One is attached, or bound, to blood proteins and the other circulates freely. The percent-free PSA test indicates how much PSA circulates free compared to the total PSA level. The percentage of free PSA is lower in men who have prostate cancer than in men who do not. Studies show that if your PSA results are in the borderline range (4 to 10), a low percent-free PSA (less than 10%) means that the likelihood of having prostate cancer is about 50% and that you should probably have a biopsy.",What is a percent-free prostate-specific antigen test?,Prostate Cancer
The risks of having a cystoscopy include:,What are the risks of cystoscopy?,Prostate Cancer
"You may feel discomfort as the cystoscope is placed into the urethra and bladder. You will probably feel a strong need to urinate when the water fills the bladder. If a biopsy is taken, you may feel a slight pinch.",How does a cystoscopy feel?,Prostate Cancer
"Cystoscopy, also called a cystourethroscopy or, more simply, a bladder scope, is a test that measures the health of the urethra and bladder.",What is cystoscopy?,Prostate Cancer
Call the nearest emergency room if:,When should someone call the doctor after a prostate biopsy and ultrasound?,Prostate Cancer
"A doctor or nurse will explain the procedure in detail, including possible complications and side effects. You will also be able to ask questions.",What happens the day of a prostate cancer biopsy and ultrasound?,Prostate Cancer
"In the past, most experts viewed prostate-specific antigen (PSA) levels less than 4 ng/mL as normal. Because of the findings from more recent studies, some recommend lowering the cutoff levels that determine if a PSA value is normal or elevated. Some researchers encourage using less than 2.5 or 3 ng/mL as a cutoff for normal values, particularly in younger patients. Younger patients tend to have smaller prostates and lower PSA values, so any elevation of the PSA in younger men above 2.5 ng/mL is a cause for concern.",What are normal prostate-specific antigen levels?,Prostate Cancer
Common side effects include:,What are the side effects of radioactive seed implants for prostate cancer?,Prostate Cancer
"In one study, the exact number of times didn’t matter. Basically, the more men ejaculated in a month, the less likely they were to get prostate cancer.",How often should men have sex or ejaculate to help prevent prostate cancer?,Prostate Cancer
"On average, 8 years pass from the time a man is first diagnosed with prostate cancer to the discovery that it has become metastatic. If you've had prostate cancer, work with your doctor to check your chances and schedule routine check-ins.",How long does it take for prostate cancer to become metastatic?,Prostate Cancer
The entire procedure generally takes about 15 to 20 minutes.,How long does a cystoscopy take?,Prostate Cancer
"During the procedure, water is inserted through the cystoscope and into your bladder. Your doctor will ask you a series of questions regarding how you feel when your bladder is filled. When the bladder is full of water, it stretches. This allows your doctor to view the entire bladder wall.",What happens during a cystoscopy?,Prostate Cancer
You will receive one enema before the procedure to empty your colon and minimize the risk of infection during the procedure. You may be asked to use the enema at home. Try to hold the enema solution for at least five minutes before releasing it.,Why does someone need an enema before getting a prostate biopsy and ultrasound?,Prostate Cancer
"Eat a light breakfast or lunch before the procedure and drink only clear liquids (which include juices, broths, and gelatin) the morning of the procedure.",What should someone eat before getting a prostate biopsy and ultrasound?,Prostate Cancer
Metastatic prostate cancer means the tumor has spread to the distant lymph nodes or more distant parts of the body.,What is metastatic prostate cancer?,Prostate Cancer
"Prostate cancer is usually called ""advanced"" if it has spread outside of the prostate gland. It may have moved to the tissues nearby, which doctors call ""locally advanced."" It also could have spread to the lymph nodes, bones, or other parts of the body. At that point, doctors call it metastatic prostate cancer.",What does advanced prostate cancer mean?,Prostate Cancer
"If your prostate cancer spreads to other parts of your body, your doctor may tell you that it's ""metastatic"" or that your cancer has ""metastasized.""",What does it mean if you have metastatic prostate cancer?,Prostate Cancer
"Advanced prostate cancer has no cure, but there are many ways doctors can treat the disease to ease symptoms and help you feel better and live longer.",Is there a cure for advanced prostate cancer?,Prostate Cancer
"You may have no symptoms with advanced prostate cancer. If you do have some, they typically depend on where in your body the cancer has spread. If it's in your pelvic bones, you may have lower back or hip pain, for example. You may have more general problems, too, like trouble controlling your bladder or blood in your urine. You may have lost weight, feel pain, have trouble breathing, or feel tired or weak.",What are the symptoms of advanced prostate cancer?,Prostate Cancer
Your main options for treating advanced prostate cancer are:,What are your options for treating advanced prostate cancer?,Prostate Cancer
"Treatments that slow the spread of advanced prostate cancer and relieve symptoms often cause side effects. Some patients, often those who are older, decide that the risk of side effects outweighs the benefits of treatment. These patients may choose not to treat their advanced prostate cancer.",What should I know about treatments for advanced prostate cancer?,Prostate Cancer
"Since these medications can cause serious side effects, including liver damage, they require a doctor’s close eye. It's also important to know that oral vitamin derivatives are different from -- and more powerful than -- vitamin supplements bought over the counter. Ordinary vitamin A and D supplements do not help.",What should you know about medications for severe scalp psoriasis?,Psoriasis
"If you start scratching and find a rash, it’s likely the problem is in your skin. It can happen because of:",What are common causes of rashes?,Psoriasis
"You might have an itch that must be scratched. Or a tickle on your back that you can’t reach. It’s often hard to pin down just what’s causing it. It may be as simple as the clothes you wear. But it can also be a symptom of something more serious, like a rash or an illness.",What should be done first when you feel itchy?,Psoriasis
"Your nervous system can get confused when it’s sick and accidentally tell the nerves on the skin to start itching when there’s nothing there to cause it. There is no rash. But your skin may appear irritated if you’ve been scratching a lot. Your brain may send an itch signal to the nerves in your skin, even though there is nothing there to cause it. You can get it from:",How does the nervous system cause itching?,Psoriasis
Reasons include:,What are common causes of itching beneath the surface?,Psoriasis
"With psoriasis, your immune cells release substances called cytokines. These make skin cells grow out of control and form scaly plaques. They also change levels of chemicals in your brain that affect your mood. A cytokine called TNF-alpha may affect brain chemicals like serotonin in a way that could lead to depression.",How does psoriasis affect brain chemicals?,Psoriasis
"Retinoids are pills, creams, and gels that form a class of drugs related to Vitamin A. Retinoids can cause serious side effects, including birth defects, so they’re not recommended for women who are pregnant or planning to have children.",How are retinoids used to treat moderate to severe psoriasis?,Psoriasis
Ixekizumab (Taltz) is a drug that you take as a shot. You do it yourself at home once your doctor shows you how.,How is Ixekizumab (Taltz) used to treat psoriasis?,Psoriasis
You would take systemic medications by pill or by injection. These types of drugs affect the whole body. Your doctor may recommend one of these types of drugs if you haven't responded to topical creams or light therapy.,What medications are used to treat moderate to severe psoriasis?,Psoriasis
Women who are pregnant or planning on becoming pregnant should not use vitamin A derivatives due to serious birth defect risks.,Should pregnant women take vitamin A derivatives to treat moderate or severe psoriasis?,Psoriasis
"Psoriasis on the lips is rare, but it does happen. Most of the time, these patches are white or gray. They can be uncomfortable and may affect the way you talk and chew.",Can you get psoriasis on your lips?,Psoriasis
"Mild-to-moderate psoriasis means that the red, scaly patches ( or ""plaques"") cover less than 10% of your body. The fact that your psoriasis is called ""mild"" doesn't mean it's easy to live with. If the patches are in visible places like your hands or legs, you may be embarrassed to go out without wearing long sleeves and pants. Also, small areas of psoriasis can turn into big problems if they're itchy or painful.",What is mild to moderate psoriasis?,Psoriasis
Cyclosporine suppresses the immune system and slows the growth of certain immune cells. Cyclosporine is given by capsule or liquid.,How is cyclosporine used to treat moderate or severe psoriasis?,Psoriasis
"Hydroxyurea (Hydrea) has fewer side effects than some of the stronger systemic medications, but it's also less effective.",Are there risks in taking hydroxyurea for severe psoriasis?,Psoriasis
"Your nervous system can get confused when it’s sick and accidentally tell the nerves on the skin to start itching when there’s nothing there to cause it. There is no rash, but your skin may appear irritated if you’ve been scratching a lot. Your brain may send an itch signal to the nerves in your skin, even though there is nothing there to cause it. You can get it from:",Is itchiness related to my nerves?,Psoriasis
"If your doctor can’t find a physical cause, it may be in your mind. Some mental conditions give people the urge to scratch or pick at themselves. They may feel like their skin is crawling with something. There is no rash, but there may be skin damage from scratching. Compulsive scratching can be a sign of:",Do certain psychological disorders cause itchiness?,Psoriasis
Use non-latex condoms to avoid problems with treatments that make latex condoms less effective. You can find them in most supermarkets and pharmacies.,What types of condoms should I use if I have severe psoriasis?,Psoriasis
"Isotretinoin (Amnesteem, Myorisan, Sotret) can cause birth defects. It clears out of your body farily fast. You only have to wait 1 month after stopping it before trying to conceive.",Can I take isotretinoin for psoriasis while trying to get pregnant?,Psoriasis
"Usually doctors start with the mildest treatments for people with mild-to-moderate psoriasis. Often the first treatment you’ll try is a skin cream or ointment. If a mild treatment doesn’t work, you’ll move up to stronger treatments until your doctor finds one that helps you.",What do doctors try first to treat mild to moderate psoriasis?,Psoriasis
"Take a warm shower before bed every night. Wash your hair with shampoo for scalp psoriasis (with tar, ketoconazole, or salicylic acid). If your doctor gave you medicine to use during your shower, put it on your wet scalp before you shampoo. Leave it on for the prescribed period of time, then wash and rinse. Always use conditioner to help keep your skin moist. After your shower, gently rub any creams or scale softeners into your scalp. Put a dry shower cap over your hair before bed. This will keep it damp and hold medicine in.",What can I do at night to help my scalp psoriasis?,Psoriasis
"Wear loose-fitting clothes and underwear, like boxers or boy shorts. Tight clothes rub on sensitive skin and can make symptoms flare up. Choose natural fabrics. Clothes made from cotton or silk are kinder to your skin than synthetics. ",What clothes should I wear if I have severe psoriasis?,Psoriasis
"Even though everyone with psoriasis is different, doctors have a few standard treatments that they try in people with moderate to severe psoriasis. These include:",What treatments are used for moderate to severe psoriasis?,Psoriasis
Dead Sea salts or Epsom salts can remove scales and relieve itching. Add them to a warm bath and soak for about 15 minutes. Use a lotion or cream to return moisture to your skin afterward.,How do Dead Sea salts or Epsom salts treat psoriasis?,Psoriasis
"Side effects of vitamin A derivatives can include hair loss; thin nails; dry mouth, eyes, and skin; bleeding gums; nosebleeds; headache; joint or muscle pain; increased levels of fat in the blood; and sensitivity to sunlight.",What are the side effects of vitamin A derivatives used to treat moderate or severe psoriasis?,Psoriasis
Biologics target proteins in your immune system that play a role in the inflammation process. They have fewer side effects than traditional systemic therapy.,How are biologics used to treat severe psoriasis?,Psoriasis
"Not everyone who has psoriatic arthritis have depression. But depression can go along with this condition. If you have depression symptoms, tell your doctor.",What do I need to know about depression and psoriatic arthritis (PsA)?,Psoriatic Arthritis
These are just some of the most common symptoms. Thoughts of death or suicide are major red flags. Call your doctor if you’re having these thoughts. Call 9-1-1 or a suicide prevention hotline or go to the ER right away if you’re in crisis or are about to act on them.,What are symptoms of depression in someone who also has psoriatic arthritis?,Psoriatic Arthritis
"Living with psoriatic arthritis has its challenges beyond pain, stiffness, and fatigue.",What do I need to know about psoriatic arthritis?,Psoriatic Arthritis
"It’s good for your mood as well as your joints. If simple activities like walking are hard, get in the pool. The water supports your weight, so you can move more easily and without impact on your joints.",How can staying active help you if you have psoriatic arthritis?,Psoriatic Arthritis
"With people you’re close to, you can share your innermost feelings and they accept you -- just as you are. Their comfort and support can often offset the unpleasantness.",Why is social support good for you if you have psoriatic arthritis?,Psoriatic Arthritis
"Too much stress can both worsen and trigger your symptoms. So do something nice for yourself every day to ease the effects of stress. It doesn't have to be a big deal. Make yourself a cup of herbal tea in the afternoon. Even a few quiet minutes of ""me time"" when you wake up or before you go to bed can help. It's not selfish. It's as important as taking your medication.",Why is it important to manage your stress if you have psoriatic arthritis?,Psoriatic Arthritis
"Missing your meds. Take your drugs the way your doctor prescribed them. They'll help control the inflammation and pain, which could cause fatigue.",How should I take my psoriatic arthritis medicine?,Psoriatic Arthritis
You can try:,How can you ease foot pain from psoriatic arthritis?,Psoriatic Arthritis
"When you have psoriatic arthritis, your body makes proteins, called cytokines that cause inflammation and may also cause fatigue, although doctors aren't sure why. When you have a flare, the cytokines set your immune system off. But instead of fighting an infection, your immune system attacks your joints. Maybe the fatigue comes from your body using energy to do this.",How can psoriatic arthritis cause fatigue?,Psoriatic Arthritis
"When your fingers or toes are so puffy that they look like sausages -- and they hurt, too -- you need to see your doctor. You could have a type of inflammation called dactylitis, or sausage digits. It can damage your fingers if you don’t get the right treatment. It’s common with inflammatory types of arthritis like ankylosing spondylitis.",Is there treatment for dactylitis (sausage fingers) caused by ankylosing spondylitis?,Psoriatic Arthritis
"When your fingers or toes are so puffy that they look like sausages -- and they hurt, too -- you need to see your doctor. You could have a type of inflammation called dactylitis, or sausage digits. It can damage your fingers if you don’t get the right treatment. It’s common with inflammatory types of arthritis like psoriatic arthritis.",Is there treatment for dactylitis (sausage fingers) caused by psoriatic arthritis?,Psoriatic Arthritis
"When your fingers or toes are so puffy that they look like sausages -- and they hurt, too -- you need to see your doctor. You could have a type of inflammation called dactylitis, or sausage digits. It can damage your fingers if you don’t get the right treatment. It’s common with inflammatory types of arthritis like psoriatic arthritis and ankylosing spondylitis.",Can (DMARDs) treat dactylitis (sausage fingers)?,Psoriatic Arthritis
"When your fingers or toes are so puffy that they look like sausages -- and they hurt, too -- you need to see your doctor. You could have a type of inflammation called dactylitis, or sausage digits. It can damage your fingers if you don’t get the right treatment. It’s common with inflammatory types of arthritis like psoriatic arthritis and ankylosing spondylitis.",Can nonsteroidal anti-inflammatory drugs treat dactylitis (sausage fingers)?,Psoriatic Arthritis
"Even if psoriatic arthritis causes foot pain, some type of exercise can still be a part of your life and might lessen pain and stiffness. You could focus on strength training or water aerobics instead of workouts that put constant pressure on your feet. If you aren’t sure where to begin, a physical or occupational therapist can help create a plan that won’t make your symptoms worse. Don’t do activities that make your pain more intense. Take regular breaks to sit down and rest as needed, if you’re on your feet.",What are ways to be active if you have foot pain from psoriatic arthritis?,Psoriatic Arthritis
"It might. Studies haven’t proved that acupuncture can treat psoriatic arthritis pain, but a review of studies did show benefits for people with chronic pain. With acupuncture, a licensed acupuncturist puts very thin needles into specific areas of your body. The process doesn’t usually hurt, and it can help your body provide natural pain relief.",Does acupuncture help if you have foot pain from psoriatic arthritis?,Psoriatic Arthritis
"No, they’re two different conditions. Osteoarthritis (OA) is the most common kind of arthritis and has similar symptoms to psoriatic arthritis (PsA), but they aren’t the same. Osteoarthritis happens when cartilage in your joints wears away over time. In contrast, psoriatic arthritis is an autoimmune disease, meaning your immune system mistakenly views healthy cells as a threat and attacks them. Psoriatic arthritis can affect your skin and nails and make joints stiff, painful, and swollen. Your joints may also feel warm when you touch them because of inflammation caused by the condition.",Are osteoarthritis and psoriatic arthritis the same thing?,Psoriatic Arthritis
One way to calm aching feet and bring down swelling is by resting them on a bag of ice or pack of frozen vegetables covered by a towel for about 10 minutes. You can also get the same benefits from a frozen water bottle when you use it to massage your feet. Or try the opposite: You can wrap a warm cloth around your feet and let the heat soothe them.,Does ice help if you have foot pain from psoriatic arthritis?,Psoriatic Arthritis
"With osteoarthritis, you may have less range of motion and struggle with day-to-day movements like sitting down. You could also have joints that are stiff, swollen, and hurt. Osteoarthritis can also create growths on the ends of your bones called bone spurs. People usually get osteoarthritis in their hands, hips, feet, knees, and spine.",How are the symptoms of osteoarthritis and psoriatic arthritis different?,Psoriatic Arthritis
"Osteoarthritis is common in people over the age of 40. You also have a bigger risk of getting it if your lifestyle involves heavy use of your joints or puts a lot of pressure on them and if you’re obese, do a lot of heavy lifting, or have had a joint injury. It’s also more common in women than men.",Who is at risk for osteoarthritis and psoriatic arthritis?,Psoriatic Arthritis
"You can wrap a warm cloth around your feet and let the heat soothe them. It’s not a cure, but it’s a way to make them feel better temporarily. Another way to calm aching feet and bring down swelling is by resting them on a bag of ice or pack of frozen vegetables covered by a towel for about 10 minutes. You can also get the same benefits from a frozen water bottle when you use it to massage your feet.",Does warmth help if you have foot pain from psoriatic arthritis?,Psoriatic Arthritis
"If you’re overweight, losing some of those extra pounds could relieve the pressure on your joints and help ease your foot pain. Studies show that weight loss can also make your treatment more effective, especially if you’re obese (BMI of 30 or higher) and lose at least 10% of your body weight.",Does weight loss help if you have foot pain from psoriatic arthritis?,Psoriatic Arthritis
"Yes, it’s possible. You can have multiple types of arthritis at once, meaning you could have osteoarthritis and psoriatic arthritis together. There isn’t one test your doctor can give you to diagnose you with either condition. Instead, they will look for specific signs of each disease.",Can you have both osteoarthritis and psoriatic arthritis?,Psoriatic Arthritis
"The following medications are the most widely prescribed to treat restless legs syndrome (RLS). They may be given alone or, in certain cases, in combination. Your doctor will prescribe the best treatment plan for you.",What medications do doctors use to treat restless legs syndrome (RLS)?,Restless Legs Syndrome
"If the first anti-TNF you try doesn’t work for you, your doctor will most likely try another one. If you still don’t get relief, they may switch you to another type of biologic. These include:",What types of biologic drugs are used to treat rheumatoid arthritis if initial biologic drugs don't work?,Rheumatoid Arthritis
"It may take some trial and error to find the biologic that works best for your rheumatoid arthritis (RA), but there’s a good reason to stay optimistic.",What should I do if my biologic treatment doesn’t help my rheumatoid arthritis?,Rheumatoid Arthritis
"Hydroxychloroquine (Plaquenil) and sulfasalazine (Azulfidine) are used for mild rheumatoid arthritis. They are not as powerful as other disease-modifying antirheumatic drugs, but they usually cause fewer side effects. In rare cases, hydroxychloroquine (Plaquenil) can have side effects that affect the eyes, so people who take this medicine should see an ophthalmologist at least once a year.",What are the side effects of hydroxychloroquine and sulfasalazine in treating rheumatoid arthritis?,Rheumatoid Arthritis
"The decision to prescribe steroids is always made on an individual basis. Your doctor will consider your age, your overall health, and other drugs you are taking. Your doctor also will make sure you understand the potential benefits and risks of steroids before you start taking them.",How do I know if steroid treatment is right for me?,Rheumatoid Arthritis
Biologics are commonly discontinued prior to surgery until wounds have healed and infection risk has passed.,Are biologics used before surgery for rheumatoid arthritis?,Rheumatoid Arthritis
"Mild pain-relieving medications including acetaminophen (Tylenol), Aleve or Motrin can reduce muscle or joint pain. Two prescription drugs, Evoxac and Salagen, stimulate saliva production and may relieve the dry mouth symptoms. In some patients, the anti-rheumatic drug Plaquenil has been beneficial in decreasing pain and salivary gland swelling.",What medications are used to treat Sjögren's syndrome?,Rheumatoid Arthritis
"In addition to pain at the injection site, the most common side effects with Humira are upper respiratory infection (including sinus infection), headache, rash, nausea, and back pain.",What are the most common side effects of Humira?,Rheumatoid Arthritis
"Yes. Because pannus is a sign of more serious, long-standing RA, your doctor might skip first-line treatments with over-the-counter non-steroidal anti-inflammatory drugs like ibuprofen and naproxen and start you on prescription meds.",Do doctors treat pannus in rheumatoid arthritis with biologics?,Rheumatoid Arthritis
Biologic drugs for rheumatoid arthritis (RA) that come as infusions include:,What types of biologic drugs are given as infusions to treat rheumatoid arthritis (RA)?,Rheumatoid Arthritis
RA sometimes affects the small nerves in your hands or feet. They might feel numb or like you’re being stuck with pins and needles.,Can rheumatoid arthritis cause numbness or tingling?,Rheumatoid Arthritis
"Your doctor might recommend treating trigger finger with rest, splints, exercises, anti-inflammatory pills, and steroid shots. If these methods don't work, and your trigger finger prevents you from doing the things you normally do, you and your doctor might suggest surgery.",What are the treatments for trigger finger?,Rheumatoid Arthritis
IL-1 or IL-6 are inflammatory chemicals your body makes. Anakinra (Kineret) blocks IL-1. Sarilumab (Kevzara) and tocilizumab (Actemra) blocks IL-6.,What biologic treats IL-1 or IL-6 in relation to rheumatoid arthritis?,Rheumatoid Arthritis
Biologic drugs are one type of medicine doctors use to treat moderate to severe rheumatoid arthritis (RA). They work on your immune system to ease inflammation and damage in your joints.,Are biologic drugs used to treat rheumatoid arthritis?,Rheumatoid Arthritis
"During a psychotic episode, your loved one with schizophrenia may not know what’s real and what isn’t. They could see and hear things that aren’t there (hallucinations) or believe something is controlling their thoughts (delusions). They might think that you’re plotting against them.",What happens during a psychotic episode for people with schizophrenia?,Schizophrenia
"If you think someone you know may have schizophrenia, reach out to your doctor or psychiatrist. Tell them what you have noticed and ask them what steps you should take, especially if the person isn’t interested in getting help.",What should I do if I think someone I know may have schizophrenia?,Schizophrenia
"Brief psychotic disorder, by definition, lasts for less than 1 month, after which most people recover fully. It’s rare, but for some people, it may happen more than once. If symptoms last for more than 6 months, doctors may consider a possible diagnosis of schizophrenia.",How long does brief psychotic disorder usually last?,Schizophrenia
"Early diagnosis and treatment can help get the person's life, family, and other relationships back on track as quickly as possible.",What can help get someone's life back on track who has brief psychotic order?,Schizophrenia
Disorganized symptoms of schizophrenia are a type of positive symptom that reflects the person's inability to think clearly and respond appropriately. Examples of disorganized symptoms include:,What are disorganized symptoms of schizophrenia?,Schizophrenia
"The primary medications used to treat schizophrenia are called antipsychotics. These drugs do not cure schizophrenia but help relieve the most troubling symptoms, including delusions, hallucinations, and thinking problems. Older medications (commonly referred to as ""first generation""), newer (""atypical"" or second generation) drugs, and even newer atypical antipsychotics may be prescribed.",What medications are used to treat schizophrenia?,Schizophrenia
"Substance-induced psychotic disorder is a condition is caused by the use of or withdrawal from drugs, such as hallucinogens and crack cocaine, that cause hallucinations, delusions, or confused speech.",What are the symptoms of substance-induced psychotic disorder?,Schizophrenia
"The medication you need can depend on whether you have, along with schizophrenia, depression or bipolar disorder. Usually, doctors will prescribe anti-psychotics first. All anti-psychotic drugs likely can help treat schizoaffective disorder, but paliperidone extended release (Invega) is the only drug that the FDA has specifically approved for schizoaffective disorder. For mood-related symptoms, you may get an antidepressants or a mood stabilizer such as lithium. You’ll often get that along with an antipsychotic medication.",What medications are used to treat schizoaffective disorder?,Schizophrenia
"Delusional disorder is usually a long-term condition. But with proper treatment, many people can find relief from their symptoms. Some people recover fully. Other can have episodes of delusions and periods of remission.",How can you recover from delusional disorder?,Schizophrenia
"Delusional disorder is when someone can’t differentiate the real and imaginary apart. The disorder has several types, based on the main theme of the delusions. A person with jealous delusional disorder believes that their spouse or sexual partner is unfaithful.",What is jealous delusional disorder?,Schizophrenia
"Delusional disorder is when someone can’t differentiate the real and imaginary apart. The disorder has several types, based on the main theme of the delusions. A person with somatic delusional disorder believes that they have a physical defect or medical problem.",What is somatic delusional disorder?,Schizophrenia
"Delusional disorder is when someone can’t the real and imaginary apart. The disorder has several types, based on the main theme of the delusions. People with persecutory delusional disorder believe that they or someone close to them are being mistreated, or that someone is spying on them or planning to harm them. They may make repeated complaints to legal authorities.",What is persecutory delusional disorder?,Schizophrenia
"Delusional disorder is when someone can’t differentiate the real and imaginary apart. The disorder has several types, based on the main theme of the delusions. A person with grandiose delusional disorder has an over-inflated sense of worth, power, knowledge, or identity. The person might believe they have a great talent or has made an important discovery.",What is grandiose delusional disorder?,Schizophrenia
"Delusional disorder is when someone can’t the real and imaginary apart. The disorder has several types, based on the main theme of the delusions. Someone with erotomanic delusional disorder believes that another person, often someone important or famous, is in love with them. The person might attempt to contact the object of the delusion, and stalking behavior is not uncommon.",What is erotomanic delusional disorder?,Schizophrenia
"People who have schizophrenia may hear voices or see things that aren’t real. Dopamine gets a lot of attention in brain research because it’s been linked to addiction. It also plays a role in other psychiatric and movement disorders, like Parkinson’s disease.",What is the role of dopamine in schizophrenia?,Schizophrenia
"They do know that you’re more likely to get schizophrenia if someone in your family has it. If it’s a parent, brother, or sister, your chances go up by 10%. If both your parents have it, you have a 40% chance of getting it, too.",What are your chances of getting schizophrenia?,Schizophrenia
"Most people with schizophrenia are not violent. They typically prefer to withdraw and be left alone. But sometimes people with mental illness may do dangerous or violent things, often as a result of losing touch with reality and from feelings of being threatened in some way by their surroundings.",Are people with schizophrenia dangerous?,Schizophrenia
"Electroconvulsive therapy (ECT) is a procedure in which electrodes are attached to the person's scalp and, while asleep under general anesthesia, a small electric shock is delivered to the brain. Each shock treatment causes a controlled seizure, and a series of treatments over time leads to improvement in mood and thinking. Some researchers think that ECT-induced seizures may affect the release of neurotransmitters in the brain. ECT is sometimes helpful when medications fail or if severe depression or catatonia makes treating schizophrenia difficult.",Does electroconvulsive therapy help schizophrenia?,Schizophrenia
"Older antipsychotics can affect sex drive, mood, and menstrual cycles. Newer ones can cause weight gain and trouble controlling blood sugar and cholesterol.",What are the side effects of antipsychotics for schizophrenia?,Schizophrenia
"A viral infection, extensive exposure to toxins like marijuana, or highly stressful situations may trigger schizophrenia in people who have inherited a tendency to develop the disorder. It tends to surface when the body is undergoing hormonal and physical changes, such as during the teen and young adult years.",What can trigger schizophrenia?,Schizophrenia
"At one time, doctors classified schizophrenia based on distinct subtypes, including:",What are the subtypes of schizophrenia?,Schizophrenia
"Schizophrenia is a life-long disease that cannot be cured, but it can be controlled with proper treatment. The goal is to reduce the symptoms and to decrease the chances of a relapse, or return of symptoms.",Can schizophrenia be cured?,Schizophrenia
"There are 2 groups of antipsychotics. Doctors call the older group of medications first-generation, typical, or conventional antipsychotics. Some common ones are:",What are the different types of antipsychotic medication for schizophrenia?,Schizophrenia
Don't try to treat a sexually transmitted disease yourself. They are contagious and serious. You must see a doctor.,Can you treat an STD at home?,Sexual Conditions
"Sexually transmitted diseases, or STDs, are contagious and serious. You must see a doctor.",Can you treat an STD by yourself?,Sexual Conditions
"A painful rash and redness on the underside or tip (head) of your penis can signal a yeast infection. Yeast is a common fungus, but when it grows too much, it can cause problems. A number of things can cause it to multiply, like humid conditions or if you have a weak immune system. Certain antibiotics can kill the bacteria that normally keep yeast growth in check, leading to a yeast infection.",How can a yeast infection cause a rash on your penis?,Sexual Conditions
"If you have sex with someone who has an infection or disease on their genitals, you can get it, too. Common STDs that might cause you to develop a rash on your penis include:",How can sexually transmitted diseases cause a rash on your penis?,Sexual Conditions
There are three:,Are there different types of ejaculation disorders?,Sexual Conditions
"If left untreated, chlamydia infection in women can cause pelvic inflammatory disease, which can damage the fallopian tubes or even cause infertility. Untreated chlamydia infection could also increase the risk of ectopic pregnancy. It may cause premature births and the infection can be passed along from the mother to their child during childbirth, causing an eye infection, blindness, or pneumonia in the newborn.",What happens if chlamydia is not treated in women?,Sexual Conditions
"Untreated chlamydia in men can cause a condition called nongonococcal urethritis (NGU) -- an infection of the urethra (the tube by which men and women pass urine). It can also cause epididymitis -- an infection of the epididymis (the tube that carries sperm away from the testes), or proctitis -- an inflammation of the rectum.",What happens if chlamydia is not treated in men?,Sexual Conditions
"After taking antibiotics, people should be re-tested after three months to be sure the infection is cured. This is particularly important if you are unsure that your partner(s) obtained treatment. But testing should still take place even if your partner has been treated. Do not have sex until you are sure both you and your partner no longer have the disease.",How can you tell if chlamydia is cured?,Sexual Conditions
To prevent vaginitis:,How can you prevent vaginitis?,Sexual Conditions
"Two of the most common causes are related to organisms that live in your vagina. They can have very similar symptoms. Yeast infections are an overgrowth of the yeast that you normally have in your body. Bacterial vaginosis happens when the balance of bacteria is thrown off. With both conditions, you may notice white or grayish discharge. How can you tell them apart? If there's a fishy smell, bacterial vaginosis is a better guess. If your discharge looks like cottage cheese, a yeast infection may be to blame. That's also more likely to cause itching and burning, though bacterial vaginosis might make you itchy, too. And you could have both at the same time.",How do you know if you have a yeast infection or bacterial vaginosis?,Sexual Conditions
"Sometimes itching, burning, and even discharge happen without an infection. Most often, it's an allergic reaction to or irritation from products such as:",What causes non-infectious vaginitis?,Sexual Conditions
"Applying lubricating gels to the outer sexual organs, including the vulva and labia, and in the vagina, may be helpful to women and ease pain during intercourse. Intercourse position changes may also help. Sex toys, such as vibrators, may also be useful. Talk to your doctor before attempting to use a vaginal dilator.",What are home remedies for painful intercourse?,Sexual Conditions
You should call your doctor when:,When should you call your doctor about vaginal infections and vaginitis?,Sexual Conditions
This disorder involves achieving sexual arousal by watching an unsuspecting and non-consenting person undress or engage in sexual activity. The voyeur doesn't seek sexual contact with the person they're observing.,What is voyeurism?,Sexual Conditions
"People with pedophilia have fantasies, urges, or behaviors that involve illegal sexual activity with a child or children. The children involved are generally 13 or younger.",What is pedophilia?,Sexual Conditions
"This red, itchy rash happens when an outside substance irritates your skin. Common culprits are chemicals in soap, cologne, detergent, or even spermicide. An outbreak usually develops within a few minutes to a couple of hours after contact. It’s not contagious, but can linger for up to a month. If you develop a rash, think of any new products you might have used recently. Stop using them to see if your symptoms improve.",How can contact dermatitis cause a rash on your penis?,Sexual Conditions
"Even if you don’t think it’s something serious, a rash on your penis can affect your health in different ways. See your doctor right away if you have the following symptoms:",When should you call your doctor about a rash on your penis?,Sexual Conditions
"Certain medications can trigger a rash. You might be allergic, or it could be a side effect of the medication. Anti-inflammatory medications, antibiotics, and pain relievers like Tylenol can cause what doctors call “fixed drug eruptions.” These affect the genitals and can cause swollen, red plaques with a gray center. They can also cause blisters and dark areas that appear once the inflammation goes away. The type of reaction you have, how soon it shows up, and how severe it is depend on the medication.",How can a drug rash appear on your penis?,Sexual Conditions
Retrograde ejaculation is common in males with diabetes who have diabetic neuropathy (nerve damage). This is because of problems with the nerves in the bladder and the bladder neck that let the ejaculate flow backward and into the bladder.,What causes retrograde ejaculation?,Sexual Conditions
