question,answer,tags,QA
what is a metered dose inhaler?,people who have chronic obstructive pulmonary disease or some other lung conditions often take their medications using a device called a metered dose inhaler. an mdi is a handheld device that delivers a specific amount of medication in aerosol form rather than as a pill or capsule. the mdi consists of a pressurized canister inside a plastic case with a mouthpiece attached. with an mdi you press on the device while inhaling the copd medication directly into your lungs. its portability makes it easy to use anywhere anytime. mdis use a chemical propellant to push medication out of the inhaler. the two common chemical propellants are cfcs and hfcs. because cfcs cause damage to the ozone layer they are being being phased out and replaced by hfcs.,['inhaler'],wmd
my daughter's daycare gave her yogurt that was in her backpack for a week. what should we do?,watch for signs of food poisoning including abdominal pain vomiting fever and diarrhea. if those occur call or visit your healthcare provider and explain what happened. for more on food poisoning signs and symptoms see this article.,['yogurt'],wmd
whats wrong with me? . i am 21 and was diagnosed with pcos on march 2015. on this past saturday i have been experiencing lightheadedness dizziness sweating nausea weakness and blurred vision. i went to urgent care on tuesday night and the doctor is referring me to a gynecologist because she thinks somethings wrong with my ovaries. it's now thursday september 8 2016 and im still experiencing these symptoms. whats wrong with me,hi could be just the flu you have try taking some pain killers and go to bed see if that sweats it out of you but your need to keep on them for a couple of days get lots of sleep and rest and keep your fluids up then see how you heel then. ok good luck,"['lightheadedness', 'dizziness', 'sweating', 'nausea', 'weakness']",wmd
why do my breast nipples stay hard and sore. i'm 19 years old my nipples have been quite constantly hard and also quite sore to the touch but there is no discharge. i'm also a few days late on my period. i took a pregnancy test but it showed up negative. i'm not sure if this matter but i'm currently taking medication for bacterial vaginitis. . what should be my next steps?,hi see your doctor and get a hormone test done y6opu may find its to do with your hormones they could be out of whack. good luck,"['breast', 'nipple', 'period', 'pregnancy test', 'bacterium']",wmd
when is a woman most fertil and likely to get pregnant,hi around day 21 of your cycle day 1 being the first day of your period it takes sperm around 3 days to get to your egg i think your find that your egg is futile for a couple of days so if you have sex on day 18 or 19 they should meet up but the odd women it seems can get pregnant form anytime of the month. don't ask how it just has to be excepted. hope this helps. good luck,['pregnancy'],wmd
i hit my head i still have the numbness in my arms and hand,com you need to get a mri on your neck and a ct scan on the brain. it could be nothing but it could be something that needs swift treatment. go to er,['i still have the numbness in my arms and hand'],qd
how does atherosclerosis cause disease?,there are two ways atherosclerosis causes disease. 1) atherosclerosis can limit the ability of the narrowed arteries to increase delivery of blood and oxygen to tissues during periods of increased oxygen demand such as during exertion. 2) complete obstruction of an artery by a thrombus or embolus (thrombus and embolus are forms of blood clots) resulting in tissue necrosis (death of tissue). exertional angina and intermittent claudication are two examples of insufficient delivery of blood and oxygen to meet tissue demand. strokes and heart attacks are examples of death of tissue caused by complete artery obstruction by blood clots. there are many similarities between coronary artery diseases (atherosclerosis involving the arteries of the heart) and peripheral artery disease. for example patients with exertional angina typically have no symptoms at rest. but during exertion the critically narrowed coronary arteries are incapable of increasing blood and oxygen delivery to meet the increased oxygen needs of the heart muscles. lack of blood and oxygen causes chest pain (exertional angina). exertional angina typically subsides when the patient rests. in patients with intermittent claudication the narrowed arteries in the lower extremities (for example a narrowed artery at the groin) cannot increase blood and oxygen delivery to the calf muscles during walking. these patients experience pain in the calf muscles that will only subside after resting. patients with unstable angina have critically narrowed coronary arteries that cannot deliver enough blood and oxygen to the heart muscle even at rest. these patients have chest pain at rest and are at imminent risk of developing heart attacks. patients with severe artery occlusion in the legs can develop rest pain (usually in the feet). rest pain represents such severe occlusion that there is insufficient blood supply to the feet even at rest. they are at risk of developing foot ulcers and gangrene. when the arteries are narrowed as a result of atherosclerosis blood tends to clot in the narrowed areas forming a so-called thrombus (plural thrombi). sometimes pieces of the thrombi break off and travel in the bloodstream until they are trapped in a narrower point in the artery beyond which they cannot pass. a thrombus or piece of thrombus that travels to another point is called an embolus (pleural emboli). thrombi and emboli can cause sudden and complete artery blockage leading to tissue necrosis (death of tissue). for example complete blockage of a coronary artery by a thrombus causes heart attack while complete blockage of a carotid or cerebral artery causes ischemic stroke. emboli originating from atherosclerosis in the aorta (the main artery delivering blood to the body) can obstruct small arteries in the feet resulting in painful and blue (cyanotic) toes foot ulcers and even gangrene.,['atherosclerosis'],wmd
i have acne since the age of 13. kindly get me a solution.,i have read your query and i understand your concern. acne has several grades depending on the type of lesions. in grade 1 i prefer to advise topical clindamycin in the morning and benzoyl peroxide alternatively with topical retinoids in the night-time. oral antibiotics are also given like doxycycline or minocycline or azithromycin in grade 2-4 acne. avoid hair oil application and oily food in the diet. in responding cases consideration is given to start oral retinoids. kindly upload the images so that i can actually visualize the lesions and advice you to my best. also mention the details of treatment you have already taken. revert back with the images to a dermatologist online  ,['acne'],ic
first time taking birth control but period is late and unprotected sex am i pregnant? . my period came july 4 first time taking the pill. so my period is always a 28 day cycle. on august 4 my period didn't come and i had unprotected sex more than twice that day. and for the rest of week i had unprotected sex and my period hasn't came yet. is there a big possibility i am pregnant?,"hi what your about to read did you do this? the effectiveness of most birth control pills is strongly affected by how consistently they are taken. the effectiveness or side effects of birth control pills can be altered by taking them late or by not taking them at the same time each day. therefore to get the highest effectiveness from birth control pills take them at the same time every day. if you miss one of more pills refer to the manufacturer package insert that came with your pills. in general for most pills the following should be followed: if you have a 28-day pack and you missed any of the last 7 pills in the pack - don't worry about it (except mircette where the last 7 pills do matter). in a 28-day pack the last 7 pills are placebo or ""sugar"" pills. these have no active ingredients; the pills are just there to help you know when to start your new pack. but make sure you start your new pack on time. if you miss taking one or more pills (except the last 7 pills in the 28-day pack) you may not be protected from pregnancy. - see more at: #sthash. ejo0b3gz. dpuf. yes as you can see it was a gathered piece of information i found this a piece of help. so at anytime did you miss a pill or two was your timing out are you now back taking your pills you missing your period could be from just the extra hormones in your body they can do things like missing a period but you should have just kept to the pattern of taken your bc pills. but as long as you used condoms for the first 7 days and with not getting your period in the placebo week you should have been using condoms with not having a period with luck you may not be pregnant. do hope this helps you. good luck ps if like most of us and you have a mobile phone set the alarm on it for the time you want to take you bc pill its a winner.","['birth control', 'period', 'pregnancy']",wmd
what are genital herpes symptoms and signs?,male - i have a brief pain in my groin area before the outbreak. however over the years i have learned to take 2 of my natural herb capsules twice a day and the outbreak does not occur. i have an outbreak approx every 7 months. hope this helps.,['genital herpes'],wmd
what can i expect during weeks 1 and 2 of my pregnancy?,baby : your baby is still just a glimmer in your eye. although it's confusing to think about a pregnancy starting before your child is even conceived doctors calculate your due date from the beginning of your last cycle since it's hard to know exactly when conception occurred. mom-to-be : at the beginning of a cycle about 20 eggs called ova begin to ripen and occupy fluid-filled sacs called follicles. one of these follicles matures and ruptures releasing an egg that will travel down the fallopian tube where it awaits fertilization. this all takes place about 14 days before the end of your cycle. this is the time you're most fertile so light some candles take the phone off the hook and set aside some intimate time. an egg can be fertilized for only about 12 to 24 hours once the ovum is released. don't be disappointed if it doesn't work the first time. you have only about a 20% chance of getting pregnant each month. tip for the week : make sure you've scheduled a preconception visit with your ob-gyn to determine risks of genetic diseases environmental hazards and lifestyle changes necessary to ensure a healthy pregnancy and baby. most important make sure you've started taking 0. 4 milligrams or 400 micrograms of folic acid a day. folic acid taken a few months before conception has been shown to dramatically reduce the likelihood of neural tube defects such as spina bifida.,['pregnancy'],wmd
my father's legs are swollen from the knees down. he is taking cyclosporine. is this a side effect of the drug?,there are many things that can cause swelling below the knee known as edema. it is usually a result of fluid retention and can be caused by several different health conditions. cyclosporine has been associated with causing edema in less than 2% of the people that take it. i suggest you contact the prescriber and notify him/her of your father's swelling. they can tell you how best to handle it considering his past medical history.,"['knee', 'leg', 'swelling', 'drug']",wmd
my husband wants me to have oral sex will i get sick if he comes in my mouth. i was physically and sexually abused as a child. my husband knows about this. he has asked if i would preform oral sex for him will i get sick if he comes in my mouth? are there germs that can also make me sick. when i was forced to do this as a child and my dad crammed his dick in my mouth and came i threw up and began to chock. i was also afraid that i would get pg.,"p { margin-bottom: 0. 08in; }a:link { } p { margin-bottom: 0. 08in; }a:link { } semen is not be a problem if he is disease free. however that being said swallowing semen is probably not as widespread as some would like you to think. i know that my wife doesn't like it and i don't force her to do it - that's nothing for her to be ashamed of. during oral sex she swallows all the pre-ejaculate (clear fluid) with no problem. occasionally when i kegel a heavy burst of pre-ejaculate will flow out and sometimes she will have to back off a little to swallow it. but the few times she has attempted to swallow semen has resulted in gagging – there's just too much thick fluid being introduced into the back of the throat to handle at one time when the penis is inserted 2-3 inches or more - unless you're really prepared for it. i know when i'm about to come and - unless your husband has premature ejaculation issues he does too. in 40 years of receiving oral sex i have only slipped up and started to ejaculate in her mouth probably less than 5 times. i tell her when i'm ready to go she pulls off and finishes me up with her hand. practice makes perfect. if you have a problem with the pre-ejaculate simply use a snug-fitting steel cock ring at the base of the penis to block the flow until such time as you think you're ready for it. i start with a cock ring occasionally for the extra engorgement sensation but i don't use it for the entire process because i am rather slow to come (40+ minutes) and the lack of blood flow through the penis for that period of time would be an issue for me. if your husband comes fast he could probably wear it all the way through to orgasm and it will prevent semen from exiting the penis. ejaculation while wearing the ring could possibly cause some pain for him though - i ejaculated while wearing one a couple times and it caused some pain in my testicles. he could try it in order to know for sure. the pain in not unbearable and it will go away. additionally remember that there is nothing dirty about oral sex between a man and his wife. there are various techniques and tricks that my wife performs on me that make the experience absolutely incredible. the term ""variety is the spice of life"" can be applied to oral sex as well. biting and sucking the penis open-mouth breathing with penis inserted licking the frenulum while sucking going deep then pulling off slowly allowing the penis to slip through your teeth gripping the penis with your hand while sucking rubbing his nipples while sucking and holding ice cubes or a throat lozenge in your mouth while performing all make for a great experience for him. even pulling off and allowing him to get a breather causes wild sensations when you start back up a few seconds later. remember simply sucking the penis will not always get the job done. see what he likes. again practice makes perfect.","['sexual intercourse', 'pregnancy', 'mouth']",wmd
despite regular cardio exercise and eating healthy i can't seem to lose weight? . okay maybe i can't lose weight is misleading but i am losing muscle and gaining fat. my exercise includes running for an hour at least four times a week for over a month and eating includes eating salads eggs fruits and white meats like chicken (and none of the junk i won't even allow myself cheat days). in spite of the fact that i have lost 20lbs i don't look any thinner. in fact i've gained fat and it's becoming increasingly harder to continue keep the same running time and pace.,you may be losing inches! not just lowering your number on the scale! ,"['exercise', 'healthy eating', 'muscle', 'running', 'salad']",wmd
cost suboxone insurance. my doctor visit is 180 a month and it cost me 650 to fill my prescription per month. which healthcare plan would benefit me the most in louisiana?,you'll need to visit the health insurance marketplace in your state to see the plans available to your (check healthcare. gov to find where to go). depending on your income you may qualify for subsidies to help lower the cost of your insurance. all new health plans must cover the cost of doctor visits and prescription drugs. in 2008 the mental health parity and addiction equity act (mhpaea) became effective followed by the affordable care act in 2010 which put in place healthcare allowances that included individuals struggling with substance use disorders according to the healthcare law substance use disorders is included in the ten elements of essential health benefits.  (whitehouse. gov) if you have not yet enrolled go to healthcare. gov - find your state and enroll online. once enrolled you can select a plan for coverage. depending on your financial situation you could qualify for state and federal subsidies that could pay a portion of your insurance premium (in some cases all). but you have to enroll first. gallus detox center is a private inpatient detox facility that specializes in iv therapy medical detox. if you have questions about our facility or detox method please call us at 855-338-6929.,"['insurance', 'louisiana']",wmd
pancreatic cancer. is it possible to have pancreatic cancer if your lipase level is just over the high normal reference? 305 on a high normal of 300. i've had persistent nausea and diarrhea for 5 months.,pancreatic cancer cannot be diagnosed by a simple blood test with borderline results but any person with abdominal discomfort for as long as you have suffered needs a very thorough diagnostic work-up and imaging studies. a reason for your nausea and diarrhea (as well as a solution) needs to be found. rather than just worry about pancreatic cancer you should continue the active pursuit as to the cause of your symptoms.,"['pancreatic cancer', 'nausea', 'diarrhea']",wmd
can i find out if i'm pregnant just 7 days after having sex? . i was wondering if the blood test hcg beta will tell if i'm pregnant just 7 days after having sex? how long does it take to be able to tell?,normally its better to have the blood test 10 days after having sex to give time for levels to go up to show a positive result. if you do a urine pregnancy test you normally do that maybe a couple days or the day after you missed your period.,"['sexual intercourse', 'pregnancy', 'blood test']",wmd
what causes a fever in babies?,there can be many causes for a babys fever. dehydration is one. or the infant might be over-bundled with clothes in a relatively warm environment. the rule of thumb is to dress your baby in just one more layer of clothing than you are comfortable in. most commonly fever is caused by an infection. the bodys immune system senses the foreign invader - such as bacteria or a virus - and sends a chemical message to the brains temperature center instructing it to crank up the heat inside the body. this has many advantages: some bacteria and viruses dont like the higher temperature and are then more easily destroyed by the immune system. the higher body temperature helps the body to ward off the infection. in this way fever is actually our friend: it lets us know that an infection may be brewing and it helps to fight off the infection.,"['fever', 'baby']",wmd
should i think about to start a company? . aycon inc. is a demolition company and concrete company serving all san diego. ,non-medical postings for advertising takes up valuable space for people who have real medical issues. please be respectful.,[],wmd
i took a test and it come up + but my boobes dont hurt,i am assuming you are talking about a positive pregnancy test correct? breast tenderness is not a 100% certainty in early pregnancy so they do not have to be sore to validate this test. i suggest that you take the home test seriously. ask your doctor for a more sensitive lab test if you are not convinced.,[],wmd
my 2 week old is sleeping about 6-7 hours a night. i am breastfeeding and was told to wake her every 3 hours. should i?,you will ultimately want to have thisdiscussion with your pediatrician but when breastfeeding is established and ababy is gaining weight consistently it should be okay to nurse on demand. there may be times where you get longer stretches and that is okay. things to watch for however would be engorgement drop inmilk supply and signs of mastitis (breast infection). often times newborns will go through cluster feedingperiods around 3 and 6 weeks of age so i wouldn't be surprised to see morefrequent feedings in your near future. this happened to me when i was breastfeeding my daughter. she would sleep so much and i let her. my doctor said that aso long as she was gaining weight and having a normal sleep cycle (more at night less during the day) that i could let her sleep. my concern was that my milk continued to drop throughout the night so i would wake up every two to three hours to pump and then freeze the milk. this was great because when my daughter was about five weeks old i got sick and had to stop feeding for a short time due to the medicine that i was on. my suggestion is clearly to get all the sleep you can and just pump in between as necessary. i never had trouble with low milk supply when i did this.,['breastfeed'],wmd
if i have to take my antibotic every 6 hrs. does that mean i need to get up in the middle of the night to take them,technically yes. but in theory hardly anyone does this. i don't know what you are taking or what your doctor is treating so i cannot suggest an alternative dosage method. call the pharmacist that filled the medicine or the medical provider who prescribed it and ask for a better dosage schedule; one that you will likely be more compliant.,['antibiotic'],wmd
i had unprotected sex with my girlfriend. (read description). im 90 percent sure i didnt ejaculate. she's 4 days late on her period. is she pregnant? and if she gets it within a day or 2 could she still be pregnant?,"a certain amount of sperm can be present and viable in some of the semen leakage that takes place during intercourse and foreplay. it is possible to get your girlfriend pregnant without ejaculating. of course you are only ""90% sure that you didn't"". i not clear how you came up with that statistic but i would be a bit concerned about the 10% chance that you did. i don't know if you girlfriend is pregnant or not but if you are both this sloppy about preventing pregnancy it's only a matter of time before it will happen. why in the world are you messing with mother nature? women are designed to get pregnant and men or designed to get them pregnant. by not being careful the inevitable will eventually happen. there are only a few days a month that a woman can conceive but sperm can lay in waiting for up to week in the vagina so if you left any of your little stragglers hanging around they have the potential of getting her pregnant. she may not be mid-cycle when ovulation typically takes place but why take the chance? don't be fools. if you and your girlfriend to not want to be parents but yet want to have risky sex practices then it would be in your mutual best interests to get some effective birth control or at least use a condom every time that you are having sex or engaged in this type of sexual play.","['ejaculation', 'period', 'pregnancy']",wmd
can a tooth cavity cause ear infections? . this is my third summer in a row with an infection in my left ear and always at the same time of year the end of june. i also have a cavity in my lower left molar the last one that has been worked on once before but not completely cleared.,because of the nerve pathways a problem in the third molars can definitely cause referrred ear pain but not necessarily an ear infection.,"['cavity', 'ears', 'tooth', 'molar']",wmd
what causes sinusitis?,sinusitis is most often the result of a viral infection that causes the mucous membrane lining the inside of the nose and the sinuses to become inflamed. the mucous membrane swells when it becomes inflamed blocking the drainage of fluid from the sinuses into the nose and throat. mucus and fluid build up inside the sinuses causing pressure and pain. bacteria are more likely to grow in sinuses that are unable to drain properly. bacterial infection in the sinuses often causes more inflammation and pain. while colds usually trigger this process any factor that causes the mucous membrane to become inflamed may lead to sinusitis. many people with nasal allergies ( allergic rhinitis ) for instance are likely to have recurring or long-term (chronic) sinus infections. nasal polyps foreign objects (usually in children) structural problems in the nose such as a deviated septum and other conditions can also block the nasal passages increasing the risk of developing sinusitis. fungal infections may also cause sinusitis. this is especially true in people with impaired immune systems. fungal sinusitis tends to be chronic and more difficult to treat than bacterial sinusitis. more information anatomy and physiology of the nasal cavity webmd medical reference from healthwise this information is not intended to replace the advice of a doctor. healthwise disclaims any liability for the decisions you make based on this information. © 1995-2011 healthwise incorporated. healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated.,['sinus infection'],wmd
are federal government employees eligible for cobra benefits when employment ends?,federal employees are not eligible for cobra benefits but they are eligible for a benefit that functions similarly called temporary continuation of coverage (tcc). as is the case with cobra you will be able to continue her current health benefits for up to 18 months (assuming you're leaving voluntarily. involuntary separation from a federal job generally disqualifies you from being tcc eligible). you'll be responsible for paying the full cost of your health plan (your portion and the government's) plus a 2% administrative fee. you can see what those rates will amount to by checking the health premiums page on the u. s. office of personnel management website. to get the ball rolling you will need to fill out and submit to your human resources office a form (2809) for tcc enrollment. you can find the form at: www. opm. gov. you should submit paper work within 31 days from your final day of work but no later than 60 days after your job ends. if you miss the deadline you'll miss out on the opportunity to elect tcc. it's important to note that there is a 31-day extension period after your final day of work when health benefits will still be available to you at no cost. on the 32nd day after regular coverage comes to an end you'll have to begin paying your premium.,[],wmd
could i be pregnant i've been nausea can't keep anything down. i had a tubrilligation 16yrs and birthconrol mesh 2trs ago. my abdomen is getting hard and my belly is getting a little bigger and i'm getting constant headaches and can't stand the smell of a lot of stuff it makes me sick i remember feeling like this when i was pregnant with my other kids.,i'd wonder about a false pregnancy. sometimes the body can produce pregnancy symptoms when you are having a hormonal imbalance. the reason why i think that is because tubal ligation is pretty sure and the essure mesh has a 99. 8% effectiveness when properly implanted. so pregnancy would seem pretty unlikely. better check with your doctor.,"['pregnancy', 'nausea', 'headache', 'smell']",wmd
can essential tremor get transferred genetically?,i have read your question with care and understand your doubts regarding essential tremors. if not treated the person will not be able to do or will do with much difficulty works involving fingers like writing mixing food button shirts etc. activities which require co-ordinated movements of the fingers will be affected. essential tremors can be due to various reasons and a few of these reasons are transmitted genetically. a few are acquired. even among the ones which are transmitted genetically it can be ad ar xd xr that is autosomal dominant autosomal resistant x-linked dominant and x-linked resistant respectively. so unless we know the exact cause of this tremor we cannot answer about genetic transmission. without knowing the exact cause the answer for this question is 0 to 100 (0 for acquired and 100 for ad). the cure of essential tremor depends on the cause. a few causes can be cured completely a few causes can be controlled and a few cannot be cured at all. again the link with other illness and disorders depends on the cause of the tremor. coming to this particular patient who has this when going to new places or during anxiety this tremors can be controlled with proper medication. you have to consult a neurosurgeon who has had experience in successfully treating such patients for physical evaluation. for further information consult a neuro surgeon online  ,['genetic inheritance'],ic
few years back had dengue fever but what is cause of new disease?,com these investigations is not enough to diagnose the case. also they are old enough to diagnose todays case. according to the symptoms he need to check some lab investigations a new cbc. esr rheumatoid factor low lymphocytes count may indicate autoimmune disorder or other infection that will show up after the new investigations.,['few years back had dengue fever'],qd
i have started waking up at night coughing up fluid and feeling like drowning ?,hi yes you are right. it may be related to heart but not always. get a ecg and 2d echo done to confirm. a chest xray spirometry and hrct chest will rule out underlying lung disease. thanks,['coughing up fluid'],qd
how do you tell your parents you are pregnant if you are 17 and 4 months away from 18? . i need help my mom had a baby at 17 and didn't want me to follow in her foot steps i don't want to disappoint her i just don't know what to do?,"you've already disappointed her might as well make ""disappointment"" your screenname. sheesh. however considering that dear old mommy couldn't keep her legs closed at age 16 either she really has no room to judge.",['pregnancy'],wmd
veins are not visible for the blood test what to do? . my mom is 61 years old and in every few months she have a blood test. her veins are not much visible so the doctors have to pierce at many places. can anybody suggest what exercise she can do so the veins becomes more or easily be visible or is there any food which she can take before blood test. i don't want her to suffer the pain of piercing at different places. any help will be appreciated. thanks.,a skilled phlebotomist can find a vein by just feeling (palpating) it. a visual view is not necessary. apply a warm compress and allowing the arm to hang down prior to the blood draw would be helpful and ask for a phlebotomist that is skilled drawing blood from children! they are used to those tiny hard-to-find veins. i also had problems to see my veins. they turned me on my stomach and did the doppler tests and found this is the only way to see the deep veins which carry 80% of the blood back up and found i have a hereditary absence of large deep veins. my deep veins are the same size as the peripheral veins causing swelling and painful red spots that now limit my standing or sitting drastically. wearing compression stockings are the only relief they can prescribe. she may have this abnormally strange vein size as well. i'm looking for answers myself. good luck. i also had problems to see my veins. they turned me on my stomach and did the doppler tests and found this is the only way to see the deep veins which carry 80% of the blood back up and found i have a hereditary absence of large deep veins. my deep veins are the same size as the peripheral veins causing swelling and painful red spots that now limit my standing or sitting drastically. wearing compression stockings are the only relief they can prescribe. she may have this abnormally strange vein size as well. i'm looking for answers myself. good luck.,"['blood test', 'vein', 'exercise', 'food', 'pain']",wmd
can too much alcohol cause hemochromatosis?,ofcourse there is a v close link bet. themquit alcohol intake phlebotomy and fe chelation is gonna be your next stepif u wanna rule out any genetic accusation. do genetic testing: examination of hfe mutations (c282y h63d) is pivotal for diagnosis of hemochromatosis,['hemochromatosis'],qd
with gastroparesis: is liquid food like jevity good? already follow jackson siegelbaum diet for gastroparesis.,jevity is typically used as a tube feeding but other oral supplements like ensure or glucerna (if you are diabetic) can be used. the jackson siegelbaum diet has three steps the first being liquids. there may be times you go back to liquids when symptoms worsen. liquids and low fiber foods tend to be tolerated the best for people with gastroparesis. oral supplements also make sense when weight and nutrition is a concern due to inability to eat regular meals. if you are concerned about your nutrition you can always see a dietitian  you can find one at eatright. org. for more on diet for gastroparasis see this webmd article. good luck!,"['gastroparesis', 'food', 'diet']",wmd
how can being diabetic and pregnant affect the baby?,"a common problem among the babies of pregnant diabetic women is a condition called ""macrosomia "" which means ""large body. "" in other words babies of diabetic women are apt to be considerably larger than others. this occurs because many of these babies receive too much sugar via the placenta because their mothers have high blood sugar levels. the baby's pancreas senses the high sugar levels and it produces more insulin in an attempt to use up all the extra sugar. that extra sugar is converted to fat making a large baby. sometimes the baby becomes too large to be delivered vaginally and a cesarean delivery becomes necessary. your doctor will closely monitor the size of your baby and will plan for the safest mode of delivery for you and your baby. if you have high blood sugar levels consistently during pregnancy (especially in the 24 hours before delivery) your baby may develop dangerously low blood sugars right after delivery. this is because the baby has high levels of insulin to use up the extra sugars but that source of sugar is suddenly taken away leaving high insulin levels so their blood sugar levels drop quickly. thus your doctor will check your baby's blood sugar levels after birth. if it's low your baby will be given glucose intravenously. your baby may also have mineral imbalances such as calcium or magnesium which can be replaced with medication.","['diabetes', 'pregnancy', 'baby']",wmd
what is the treatment for menstrual migraine?,there are several aspects to treating menstrual migraines: to treat menstrual migraine take medications after the onset. generally medications that are effective in stopping nonmenstrual migraines are effective at also treating menstrual migraines. to prevent menstrual migraine take medications just before the onset of menstruation and continue for the duration of the expected headache. taking hormones such as estrogens or estrogen-related medications also help to prevent migraine. to reduce the frequency and duration of menstrual migraine take prophylactic medications (such as beta-blockers calcium channel blockers anticonvulsants tricyclic antidepressants) that are normally used on a continuous basis to prevent nonmenstrual migraines. nsaids such as naproxen sodium (aleve) or ibuprofen (advil motrin) have been used effectively to treat menstrual migraines. a combination analgesic containing acetaminophen aspirin and caffeine (acc) can also be used to treat menstrual migraines. for women whose menstruation and menstrual migraines occur on a regular and predictable pattern nsaids may be used 24 hours before the expected onset of menstrual migraine and continued for the expected duration of the headache. since nsaids inhibit prostaglandins they have the added benefit of relieving menstrual cramps as well. triptans (naratriptan rizatriptan sumatriptan zolmitriptan) have been found to be effective in treating menstrual migraines as well as controlling the associated nausea and vomiting. sumatriptan given two to three days before and continued for the duration of the expected headache is effective in reducing the frequency and severity of menstrual migraine. naratriptan used in the same manner has also been found to be effective in preventing menstrual migraine. however in those cases where breakthrough headaches occurred they were just as severe as in patients taking placebo. dihydroergotamine (dhe) can be used as a nasal spray or given intramuscularly or intravenously to stop menstrual migraines. ergotamine (oral rectal or intranasal) and dhe (intranasal intramuscular or intravenous) can be used around the time of menstruation (several days before and continued for the duration of the expected headache) to prevent menstrual migraines. if these medications are ineffective doctors may try daily preventive medications such as beta-blockers anticonvulsants calcium channel blockers and tricyclic antidepressants to reduce the frequency and the severity of menstrual migraines. the choice of the preventive medications is based on the experiences and preferences of the doctor the medication side effects and the woman's other associated medical conditions. for women already taking preventive medications who still experience headaches the doses of preventive medications can be increased around the time of menstruation. (some doctors use preventive medications only around the time of menstruation. ) alternatively doctors may try hormone treatment. since a drop in estrogen level just prior to menstruation is the trigger for menstrual migraines estrogen replacement before menstruation has been used in preventing menstrual migraines. for some women with menstrual migraine estradiol skin patches (such as tts 50 tts 100) applied two days before menstrual migraine and continued for seven days during the expected headache period is effective. however the dose of estrogen must be closely monitored as too high of a dose can actually trigger migraine in susceptible individuals. some women with difficult-to-treat menstrual migraines may be helped by using low-dose oral contraceptives to reduce the estrogen fluctuations. other less frequently used medications for menstrual migraines include tamoxifen bromocriptine danazol and gonadotropin-releasing hormone (gnrh).,"['migraine', 'menstrual']",wmd
sharp pain under right breast rt side neck pain cough causes instant migrane on rt side normally migranes on lt side,"migraines are vascular headaches and not all headaches are ""migraines"". migraine does not mean a severe headache it is just one type of over a hundred different kinds of headaches. the type of headache you may be describing is one of the more common types. a muscle-tension headache but the pain under the breast is not a typical symptom. muscle-tension headache can certainly come from the neck. since you cannot be blindly diagnosed over the internet i would suggest that you see your medical provider for a proper examination.","['pain', 'breast', 'neck', 'cough']",wmd
what treatments and type of doctor should my child see to correct his feet from turning in? . he is 9 years old.,at age nine he should be seen by a pediatric orthopedic surgeon.,"['foot', 'vision']",wmd
i have rash on my leg its only got worse it itches and feels hot?,in my opinion first take an antihistaminic for example hyroxizine to stop itching second this can be either simple contact dermatitis or celullitis if it is celluitis you will need to have a strong antibiotic course of treatment i recommend you see a dermatologist to be safe contact dermatitis will improve on dose of 10mg hydroyzine every 12 hours also hydrocortisol cream should fix it (hydrocortisol cream can make cellulitis worse) so confirm your diagnosise at a dermatologist firstgood luck,['rash on my leg'],qd
can a cold sore give me genital herpes? . recently my girlfriend gave me a blowjob. she had a cold sore on her lower lip. although the sore was completely scabbed over and is almost completely healed. she got it two weeks ago and has been using some type of medicine to get it healed. the bj lasted 15 seconds and the scab barely touched my penis. the sore isn't open at all so is there still a high risk of infection? whenever we make-out when she has a cold sore i never get one. and she generally gets them when she's really stressed.,there r two types of herpes. there r the oral kind and then there is genital kind. yes u can get herpes on your genitals from a cold sore. but even tho it is herpes on your genitals it is not actually the genital type of herpes. it is the oral type actually. u can spread each type to each area. yes her giving u head with a what looks like mainly healed sore can give u herpes. i have kissed a chick with a sore before to and didn't get nothing. some times your just lucky or perhaps your immune system is working harder and better at times i don't know. but u can get on acyclovir twice a day from your doctor it's herpes meds. or if u don't have insurance there is a natural pill for it u can get at health stores or what have u called l-lysine and take it twice a day and have her take it as well. hell even once a day would b good.,"['cold sore', 'genital herpes', 'lip', 'healing', 'penis']",wmd
what can cause a period to be late? . i'm 25 have always had regular periods and i am now 3 days late. i had protected sex 4 days ago. i have been under a lot of stress and not sleeping well. could i be pregnant. or what else could cause my period to be late?,if you ve had a recent illness or you are under or over weight pregnancy pre- menopause menopause change in your meds stress are all things that can cause your period to be late,"['sexual intercourse', 'period', 'stress', 'pregnancy']",wmd
no period after only having one depo shot. i got the depo shot on sept 15 2012. in oct. i got a period and also in nov. i decided i didn't want to get the shot which i had to go in on the 7th of dec. to get it. i did have intercourse on the 6th of dec and it was unprotected. i was expecting a period on the 24th of dec and it did not come. i am afraid i may be pregnant but i keep getting negative's. i just want my period to return and i have been to two dr's that say it is a side effect of the shot but why after 3 months no period.,i got the depo shot after i had my son in 97 i didnt have my period till 00 till this day my periods have not been normal and i have not been able to get pregnet for over 14 yrs,"['sexual intercourse', 'period', 'pregnancy', 'injection']",wmd
